"","HE_AMI1_S7","HE_AMI2_S8","HE_AMI3_S9","HE_CLA1_S10","HE_CLA2_S11","HE_CLA3_S12","HE_NCA1_S19","HE_NCA2_S20","HE_NCA3_S21","HE_NTP1_S4","HE_NTP2_S5","HE_NTP3_S6","HE_NTP_AMI1_S13","HE_NTP_AMI2_S14","HE_NTP_AMI3_S15","HE_NTP_CLA1_S16","HE_NTP_CLA2_S17","HE_NTP_CLA3_S18","HE_unt1_S1","HE_unt2_S2","HE_unt3_S3"
"MAB_4746",87.27,135.55,79.7,107.49,85.2,117.36,293.27,217.91,216.58,91.88,97.15,94.61,129.11,161.82,246.99,132.08,124.62,113.55,73.46,80.24,51.16
"MAB_4747",200.97,179.76,149.28,140.38,76,170.96,6407.64,4043.7,4830.47,192.3,204.88,215.45,241.12,292.77,246.09,174.26,183.09,139.91,126.36,206.85,187.73
"MAB_4748c",158.01,167.7,100.76,157.14,113.78,152.93,1822.62,1173.2,1241.12,116.49,116.45,122.61,165.66,167.34,173.45,172.04,170.09,171.78,124.12,156.46,129.66
"MAB_4749c",42.47,50.26,35.78,20,25.92,31.96,185.91,111.09,152.55,47.42,44.53,65.61,57.35,81.99,60.5,37.89,25.49,36,30,46.66,31.93
"MAB_4750",34.72,32.11,19.82,21.3,22.73,21.96,65.41,33.84,51.07,34.39,23.59,21.47,34.45,76.16,79.27,38.62,32.69,36.89,25.19,28.08,22.92
"MAB_4751",107.86,83.36,74.65,79.46,40.58,82.77,66.11,84.12,70.84,105.43,97.66,116.11,136.59,175.35,138.04,139.69,136.99,150.5,88.31,103.19,88.45
"MAB_4752",113.38,110.26,84.46,120.65,88.91,124.45,288.23,450.07,294.09,104.11,105.95,113.26,148.28,171.18,136.43,132.16,146.66,133.93,127.24,102.57,89.19
"MAB_4753c",24.62,15.91,22.35,17.39,11.62,24.39,409.2,539.89,351.92,17.95,24.99,25.39,20.55,29.53,31.93,33.5,15.14,17.12,19.55,12.64,17.86
"MAB_4754",176.65,177.76,119.78,128.5,105.46,130.84,8160.08,11280.84,8773.11,174.05,136.04,191.55,168.64,155.7,169.5,127.3,125.24,107.76,207.84,199.55,181.11
"MAB_4755c",348.28,319.89,239.04,196.86,203.07,206.57,47180.57,63324.81,50728.54,519.95,406.11,474.81,353.82,253.24,294.92,217.39,205.95,244.08,659.41,687.91,602.5
"MAB_4756c",232.12,232.76,169.2,197.47,144.53,254.85,147246.78,241440.41,171067.93,123.7,111.93,120.85,178.04,180.01,190.22,211.53,219.62,191.72,190.73,182.39,146.07
"MAB_4757",41.24,58.18,30.89,67.43,53.66,80.74,743.61,1515.47,850.54,62.69,77,78.23,105.14,92.36,109.58,95.05,102.09,78.53,71.5,70.3,51.41
